date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:05	47404/47404	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:05%20GMT	http://dreamguys.co.in/preclinic/template/index.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/index.html	(from )
15:05:06	671/671	---M-Z	200	added ('OK')	text/plain	etag:%229cf-5704f7561fc03-gzip%22	http://dreamguys.co.in/robots.txt		(from )
15:05:06	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-58047cd554e4f%22	http://dreamguys.co.in/preclinic/template/assets/img/favicon.ico	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/assets/img/favicon.ico	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:06	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-580479918eff5-gzip%22	http://dreamguys.co.in/preclinic/template/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/assets/css/bootstrap.min.css	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-58047997e9d1f-gzip%22	http://dreamguys.co.in/preclinic/template/assets/css/font-awesome.min.css	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/assets/css/font-awesome.min.css	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:08	86575/86575	---M-Z	200	added ('OK')	text/css	etag:%221522f-58120d732e963-gzip%22	http://dreamguys.co.in/preclinic/template/assets/css/style.css	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/assets/css/style.css	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:08	37412/37412	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:08%20GMT	http://dreamguys.co.in/preclinic/template/activities.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/activities.html	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:09	9632/9632	---M--	200	added ('OK')	image/png	etag:%2225a0-58047cd660b32%22	http://dreamguys.co.in/preclinic/template/assets/img/logo.png	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/assets/img/logo.png	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:09	1112/1112	---M--	200	added ('OK')	image/jpeg	etag:%22458-58047cde381cb%22	http://dreamguys.co.in/preclinic/template/assets/img/user.jpg	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/assets/img/user.jpg	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:09	39363/39363	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:09%20GMT	http://dreamguys.co.in/preclinic/template/profile.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/profile.html	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:09	41554/41554	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:09%20GMT	http://dreamguys.co.in/preclinic/template/edit-profile.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/edit-profile.html	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:09	28946/28946	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:09%20GMT	http://dreamguys.co.in/preclinic/template/settings.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/settings.html	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:10	2379/2379	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:09%20GMT	http://dreamguys.co.in/preclinic/template/login.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/login.html	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:10	49122/49122	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:09%20GMT	http://dreamguys.co.in/preclinic/template/doctors.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/doctors.html	(from http://dreamguys.co.in/preclinic/template/index.html)
15:05:10	45050/45050	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202019%2015:00:10%20GMT	http://dreamguys.co.in/preclinic/template/patients.html	C:/Mes%20Sites%20Web/prepre/dreamguys.co.in/preclinic/template/patients.html	(from http://dreamguys.co.in/preclinic/template/index.html)
